,index,SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION,FILE_NAME,ROW_ID,LINK_VALUE,SOURCE_NODE,TARGET_NODE,SOURCE_FIELD,TARGET_FIELD,COLOR
0,0,market_data.market_date,subquery2_1.market_date,,json_data2,0,1,19,18,market_date,market_date,aliceblue
1,1,trades.portfolio_id,subquery1_4.portfolio_id,,json_data2,0,1,21,20,portfolio_id,portfolio_id,aliceblue
2,2,trades.quantity,subquery1_4.total_value,"SUM(MUL(quantity, closing_price))",json_data2,0,1,21,20,quantity,total_value,orangered
3,2,market_data.closing_price,subquery1_4.total_value,"SUM(MUL(quantity, closing_price))",json_data2,0,1,19,20,closing_price,total_value,orangered
4,4,market_data.market_date,subquery1_4.market_date,,json_data2,0,1,19,20,market_date,market_date,aliceblue
5,5,trades.portfolio_id,subquery1_3.portfolio_id,,json_data2,0,1,21,22,portfolio_id,portfolio_id,aliceblue
6,6,market_data.closing_price,subquery1_3.avg_performance,AVG(closing_price),json_data2,0,1,19,22,closing_price,avg_performance,orangered
7,7,trades.portfolio_id,subquery1_2.portfolio_id,,json_data2,0,1,21,23,portfolio_id,portfolio_id,aliceblue
8,8,dividends.dividend_amount,subquery1_2.total_dividends,"SUM(MUL(dividend_amount, quantity))",json_data2,0,1,24,23,dividend_amount,total_dividends,orangered
9,8,trades.quantity,subquery1_2.total_dividends,"SUM(MUL(dividend_amount, quantity))",json_data2,0,1,21,23,quantity,total_dividends,orangered
10,10,trades.trade_id,subquery1_1.trade_id,,json_data2,0,1,21,25,trade_id,trade_id,aliceblue
11,11,trades.portfolio_id,subquery1_1.portfolio_id,,json_data2,0,1,21,25,portfolio_id,portfolio_id,aliceblue
12,12,stocks.ticker,subquery1_1.ticker,,json_data2,0,1,26,25,ticker,ticker,aliceblue
13,13,stocks.company_name,subquery1_1.company_name,,json_data2,0,1,26,25,company_name,company_name,aliceblue
14,14,trades.trade_date,subquery1_1.trade_date,,json_data2,0,1,21,25,trade_date,trade_date,aliceblue
15,15,trades.trade_type,subquery1_1.trade_type,,json_data2,0,1,21,25,trade_type,trade_type,aliceblue
16,16,trades.quantity,subquery1_1.quantity,,json_data2,0,1,21,25,quantity,quantity,aliceblue
17,17,trades.price_per_share,subquery1_1.price_per_share,,json_data2,0,1,21,25,price_per_share,price_per_share,aliceblue
18,18,trades.quantity,subquery1_1.total_trade_value,"(MUL(quantity, price_per_share))",json_data2,0,1,21,25,quantity,total_trade_value,orangered
19,18,trades.price_per_share,subquery1_1.total_trade_value,"(MUL(quantity, price_per_share))",json_data2,0,1,21,25,price_per_share,total_trade_value,orangered
20,20,investors.investor_id,INVESTOR_OVERVIEW.investor_id,,json_data2,0,1,28,27,investor_id,investor_id,aliceblue
21,21,investors.first_name,INVESTOR_OVERVIEW.first_name,,json_data2,0,1,28,27,first_name,first_name,aliceblue
22,22,investors.last_name,INVESTOR_OVERVIEW.last_name,,json_data2,0,1,28,27,last_name,last_name,aliceblue
23,23,investors.email,INVESTOR_OVERVIEW.email,,json_data2,0,1,28,27,email,email,aliceblue
24,24,portfolios.portfolio_id,INVESTOR_OVERVIEW.portfolio_id,,json_data2,0,1,29,27,portfolio_id,portfolio_id,aliceblue
25,25,portfolios.portfolio_name,INVESTOR_OVERVIEW.portfolio_name,,json_data2,0,1,29,27,portfolio_name,portfolio_name,aliceblue
26,26,subquery1_1.trade_id,INVESTOR_OVERVIEW.trade_id,,json_data2,0,1,25,27,trade_id,trade_id,aliceblue
27,27,subquery1_1.trade_date,INVESTOR_OVERVIEW.trade_date,,json_data2,0,1,25,27,trade_date,trade_date,aliceblue
28,28,subquery1_1.ticker,INVESTOR_OVERVIEW.ticker,,json_data2,0,1,25,27,ticker,ticker,aliceblue
29,29,subquery1_1.company_name,INVESTOR_OVERVIEW.company_name,,json_data2,0,1,25,27,company_name,company_name,aliceblue
30,30,subquery1_1.trade_type,INVESTOR_OVERVIEW.trade_type,,json_data2,0,1,25,27,trade_type,trade_type,aliceblue
31,31,subquery1_1.quantity,INVESTOR_OVERVIEW.quantity,,json_data2,0,1,25,27,quantity,quantity,aliceblue
32,32,subquery1_1.price_per_share,INVESTOR_OVERVIEW.price_per_share,,json_data2,0,1,25,27,price_per_share,price_per_share,aliceblue
33,33,subquery1_1.total_trade_value,INVESTOR_OVERVIEW.total_trade_value,,json_data2,0,1,25,27,total_trade_value,total_trade_value,aliceblue
34,34,subquery1_2.total_dividends,INVESTOR_OVERVIEW.total_dividends,TYPE_CONVERSION(total_dividends),json_data2,0,1,23,27,total_dividends,total_dividends,orangered
35,35,subquery1_3.avg_performance,INVESTOR_OVERVIEW.average_performance,TYPE_CONVERSION(avg_performance),json_data2,0,1,22,27,avg_performance,average_performance,orangered
36,36,subquery1_4.total_value,INVESTOR_OVERVIEW.total_investment_value,TYPE_CONVERSION(total_value),json_data2,0,1,20,27,total_value,total_investment_value,orangered
